,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
0,JAMMU & KASHMIR,Rural,0-14,0.00039164655416294334,5720,0.4553418396495906,73,0.004189678156541611,0.0027613787849933348,10027,0.5181870119977148,0.4365835079032565
1,JAMMU & KASHMIR,Rural,15-59,0.0008611972838778185,12785,0.446369029576062,6090,0.236002251764604,0.027714025895292947,11035,0.16485515091153163,0.31299527995496473
2,JAMMU & KASHMIR,Rural,60+,0.0006151782096240633,8482,0.48581474296799226,1953,0.10784432589718719,0.010548011639185256,12186,0.3116513094083414,0.42707322987390883
3,JAMMU & KASHMIR,Rural,Age not stated,1.9019209924119319e-06,32,0.37254901960784315,8,0.1568627450980392,0.0,38,0.43137254901960786,0.3137254901960784
4,JAMMU & KASHMIR,Rural,0-14,0.0004647026958126487,6652,0.4661744643287056,122,0.007302784688227269,0.0024877618168686303,11994,0.513040686943263,0.4494823850413289
5,JAMMU & KASHMIR,Rural,15-59,0.0009940334127988245,15664,0.41234290001875823,8876,0.30452072781842054,0.02847495779403489,11052,0.13843556555993247,0.2761958356781092
6,JAMMU & KASHMIR,Rural,60+,0.00047313081628882705,6827,0.4618901237487192,1770,0.12548277764640972,0.01403010956096792,8838,0.30133207219988967,0.3952865137542366
7,JAMMU & KASHMIR,Rural,Age not stated,3.2071608891652187e-06,58,0.32558139534883723,18,0.18604651162790697,0.023255813953488372,58,0.3953488372093023,0.27906976744186046
8,JAMMU & KASHMIR,Rural,0-14,0.00017303751774100715,2832,0.3896551724137931,30,0.004310344827586207,0.0021551724137931034,4462,0.5875,0.3741379310344828
9,JAMMU & KASHMIR,Rural,15-59,0.0003314190560698988,5484,0.3829188702599302,2267,0.23258692472150333,0.022504782266231576,4279,0.20333070777540227,0.2781591088106223
10,JAMMU & KASHMIR,Rural,60+,4.93753606657529e-05,764,0.4229607250755287,233,0.1578549848942598,0.01812688821752266,840,0.277190332326284,0.35725075528700906
11,JAMMU & KASHMIR,Rural,Age not stated,7.831439380519719e-07,16,0.23809523809523808,5,0.23809523809523808,0.0,13,0.38095238095238093,0.23809523809523808
12,JAMMU & KASHMIR,Rural,0-14,0.0002533284176755736,4004,0.41056970410716914,53,0.004563521271897542,0.0032386279994111584,6588,0.5732371558957751,0.39658471956425734
13,JAMMU & KASHMIR,Rural,15-59,0.0010738022167746896,17907,0.3780996040841842,7036,0.22060151420434812,0.023754948947697436,15606,0.2542196290893936,0.2877682850593874
14,JAMMU & KASHMIR,Rural,60+,0.00045325387728969844,7050,0.4199440513411223,1244,0.09535955241072898,0.006993582359716965,9368,0.3917228895836762,0.3790521638966595
15,JAMMU & KASHMIR,Rural,Age not stated,1.1560696228386253e-06,17,0.45161290322580644,3,0.06451612903225806,0.03225806451612903,27,0.45161290322580644,0.41935483870967744
16,JAMMU & KASHMIR,Rural,0-14,0.00011064705067620004,1691,0.43006403774856755,20,0.0047185709470845974,0.0020222446916076846,2873,0.5517357600269632,0.416582406471183
17,JAMMU & KASHMIR,Rural,15-59,0.00030337504457394245,4823,0.40712968653964354,1172,0.1269821757836509,0.017086662569145667,5470,0.35070682237246464,0.3216963736939152
18,JAMMU & KASHMIR,Rural,60+,4.132016587436119e-05,606,0.45306859205776173,121,0.0983754512635379,0.010830324909747292,837,0.351985559566787,0.40342960288808666
19,JAMMU & KASHMIR,Rural,Age not stated,1.4917027391466132e-07,1,0.75,0,0.0,0.0,3,0.25,0.5
20,JAMMU & KASHMIR,Rural,0-14,6.623160161810963e-05,993,0.4408783783783784,11,0.0033783783783783786,0.002815315315315315,1732,0.5456081081081081,0.42961711711711714
21,JAMMU & KASHMIR,Rural,15-59,0.0003026291932043692,4577,0.43598274799753545,1360,0.15009242144177448,0.01749845964263709,4929,0.2860135551447936,0.32138016019716575
22,JAMMU & KASHMIR,Rural,60+,6.26142224756791e-05,871,0.4812388326384753,202,0.1072066706372841,0.013103037522334724,1285,0.33353186420488384,0.4318046456223943
23,JAMMU & KASHMIR,Rural,Age not stated,4.1021825326531866e-07,6,0.45454545454545453,1,0.09090909090909091,0.0,9,0.45454545454545453,0.36363636363636365
24,JAMMU & KASHMIR,Rural,0-14,0.0004654858397507007,6687,0.4642685467072585,143,0.007130267585322865,0.004326229770870053,11960,0.512578112481974,0.44560166639961546
25,JAMMU & KASHMIR,Rural,15-59,0.0010854747907085118,16341,0.4385886556498437,8381,0.2576012643006837,0.030336345209056242,12982,0.1549455457450098,0.2910640052221115
26,JAMMU & KASHMIR,Rural,60+,0.0002883088469085617,3994,0.4833786056137628,1123,0.12999611951882034,0.01526322597335403,5383,0.28599146294140476,0.4102962100633812
27,JAMMU & KASHMIR,Rural,Age not stated,2.9461129098145613e-06,47,0.4050632911392405,13,0.13924050632911392,0.02531645569620253,57,0.3924050632911392,0.3291139240506329
28,JAMMU & KASHMIR,Rural,0-14,0.00026261426722676127,4044,0.4257313263277478,42,0.00411814825333712,0.001846066458392502,6842,0.5580800908832718,0.4135188866799205
29,JAMMU & KASHMIR,Rural,15-59,0.0006164834495208166,9574,0.42084568386667476,2262,0.12310205069263808,0.013731776662028915,11169,0.337729114996068,0.3379105922206763
30,JAMMU & KASHMIR,Rural,60+,0.00046570959516157266,6336,0.4926329276105061,819,0.057895579756566305,0.007687379884689302,10622,0.393818065342729,0.4567584881486227
31,JAMMU & KASHMIR,Rural,Age not stated,8.204365065306373e-07,7,0.6818181818181818,3,0.13636363636363635,0.0,19,0.18181818181818182,0.6818181818181818
32,JAMMU & KASHMIR,Urban,0-14,0.00011016224728597739,1597,0.45937711577522006,40,0.009478672985781991,0.004062288422477996,2834,0.514218009478673,0.44515910629654704
33,JAMMU & KASHMIR,Urban,15-59,0.0003373112818895279,4947,0.45306799336650083,3303,0.3199557766721946,0.04521835268103925,4649,0.16771697070204533,0.34626865671641793
34,JAMMU & KASHMIR,Urban,60+,0.00016013428904738892,2086,0.5142058686539357,553,0.12109920819748486,0.007685142058686539,3387,0.3127619934792734,0.4760130414531905
35,JAMMU & KASHMIR,Urban,Age not stated,4.848033902226493e-07,7,0.46153846153846156,2,0.15384615384615385,0.0,11,0.38461538461538464,0.46153846153846156
36,JAMMU & KASHMIR,Urban,0-14,0.0001499534178527133,2166,0.4613280278537677,66,0.010196468540164138,0.006217358865953743,3821,0.5123103705545884,0.43795075851778165
37,JAMMU & KASHMIR,Urban,15-59,0.0005284729879111664,9415,0.3356149883565027,7503,0.48987368569614,0.03958789076282549,5343,0.12059840519370546,0.25643920683085175
38,JAMMU & KASHMIR,Urban,60+,0.00014820066713421603,1930,0.5143432310015098,558,0.13009562154001006,0.01031706089582285,3122,0.30548565676899847,0.48012078510317063
39,JAMMU & KASHMIR,Urban,Age not stated,1.5289953076252786e-06,32,0.21951219512195122,24,0.5609756097560976,0.024390243902439025,13,0.14634146341463414,0.17073170731707318
40,JAMMU & KASHMIR,Urban,0-14,3.333955621992681e-05,508,0.4317673378076063,10,0.007829977628635347,0.003355704697986577,851,0.5380313199105146,0.41387024608501116
